[2014-10-17 13:26:57] EDIT heritage/controllers/default.py: 0
[2014-10-17 13:28:13] EDIT heritage/models/db1.py: 2
[2014-10-17 13:28:18] EDIT heritage/models/db1.py: 0
[2014-10-17 13:28:32] EDIT heritage/models/db1.py: 0
[2014-10-17 13:30:30] EDIT heritage/views/default/about.html: 2
[2014-10-17 13:31:38] EDIT heritage/views/default/about.html: 7
[2014-10-17 13:31:50] EDIT heritage/views/default/about.html: -4
[2014-10-17 13:41:33] EDIT heritage/views/default/about.html: 0
[2014-10-17 13:52:53] EDIT heritage/views/default/about.html: -14
[2014-10-17 14:09:10] EDIT heritage/views/default/about.html: -9
[2014-10-17 14:14:15] EDIT heritage/views/default/about.html: -25
[2014-10-17 14:16:01] EDIT heritage/views/default/calendar.html: 0
[2014-10-17 14:16:49] EDIT heritage/controllers/default.py: 0
[2014-10-17 14:16:56] EDIT heritage/controllers/default.py: 0
[2014-10-17 14:17:31] EDIT heritage/views/default/map.html: 0
[2014-10-17 14:17:46] EDIT heritage/views/default/map.html: 0
[2014-10-17 14:20:22] EDIT heritage/models/db1.py: 4
[2014-10-17 14:21:20] EDIT heritage/controllers/default.py: 1
[2014-10-17 14:21:32] EDIT heritage/controllers/default.py: 0
[2014-10-17 14:23:27] EDIT heritage/views/default/ministries.html: 5
[2014-10-17 14:23:47] EDIT heritage/controllers/default.py: 0
[2014-10-17 14:24:57] EDIT heritage/models/db1.py: 1
[2014-10-17 14:25:46] EDIT heritage/views/default/ministries.html: 1
[2014-10-17 14:26:12] EDIT heritage/views/default/ministries.html: 0
[2014-10-17 14:27:05] EDIT heritage/views/default/ministries.html: 2
[2014-10-17 14:27:29] EDIT heritage/models/db1.py: 0
[2014-10-17 14:28:13] EDIT heritage/views/default/ministries.html: 0
[2014-10-17 14:28:27] EDIT heritage/models/db1.py: 0
[2014-10-17 14:28:56] EDIT heritage/models/db1.py: 0
[2014-10-17 14:29:17] EDIT heritage/views/default/ministries.html: -2
[2014-10-17 14:29:35] EDIT heritage/views/default/ministries.html: 0
[2014-10-17 15:11:35] EDIT heritage/views/default/ministries.html: 0
[2014-10-17 15:14:07] EDIT heritage/views/default/ministries.html: 0
[2014-10-17 15:14:10] EDIT heritage/views/default/ministries.html: 0
[2014-10-17 15:14:42] EDIT heritage/views/default/ministries.html: 0
[2014-10-17 15:17:00] EDIT heritage/views/default/ministries.html: 0
[2014-10-17 15:24:07] EDIT heritage/views/default/ministries.html: 0
[2014-10-17 15:24:39] EDIT heritage/views/default/ministries.html: 0
[2014-10-17 15:25:27] EDIT heritage/views/default/ministries.html: 0
[2014-10-17 15:31:01] EDIT heritage/views/default/ministries.html: -42
[2014-10-17 15:35:35] EDIT heritage/models/db1.py: 6
[2014-10-17 15:35:52] EDIT heritage/models/db1.py: 0
[2014-10-17 15:36:13] EDIT heritage/models/db1.py: 0
[2014-10-17 15:36:18] EDIT heritage/models/db1.py: 0
[2014-10-17 15:39:08] EDIT heritage/models/db1.py: 0
[2014-10-17 15:39:59] EDIT heritage/models/db1.py: 0
[2014-10-17 15:40:39] EDIT heritage/controllers/default.py: 1
[2014-10-17 15:40:44] EDIT heritage/controllers/default.py: 0
[2014-10-17 15:46:12] EDIT heritage/views/default/links.html: 6
[2014-10-17 15:48:31] EDIT heritage/views/default/links.html: 0
[2014-10-17 15:50:38] EDIT heritage/views/default/links.html: 2
[2014-10-17 15:51:17] EDIT heritage/views/default/links.html: 0
[2014-10-17 15:54:23] EDIT heritage/views/default/links.html: 0
[2014-10-17 15:58:23] EDIT heritage/views/default/links.html: 2
[2014-10-17 15:58:49] EDIT heritage/models/db1.py: 1
[2014-10-17 16:00:04] EDIT heritage/views/default/links.html: 0
[2014-10-17 16:00:34] EDIT heritage/views/default/links.html: 0
[2014-10-17 16:01:17] EDIT heritage/views/default/links.html: 0
[2014-10-17 16:03:19] EDIT heritage/models/db1.py: 2
[2014-10-17 16:03:59] EDIT heritage/models/db1.py: 1
[2014-10-17 16:04:28] EDIT heritage/models/db1.py: 0
[2014-10-17 16:04:49] EDIT heritage/models/db1.py: 0
[2014-10-17 16:05:38] EDIT heritage/models/db1.py: 0
[2014-10-17 16:13:55] CREATE manage.py: 0
